"director_id","full_name","gender","birth_date","death_date"
"1001","Robin Hardy","male","1929","2016"
"1002","Martin Scorsese","male","1942",""
"1003","Adam McKay","male","1968",""
"1004","Adam Elliot","male","1972",""
"1005","Pablo Berger Uranga","male","1963",""
"1006","Jamie Babbit","male","1970",""
"1007","Lana Wachowski","female","1965",""
"1008","Lilly Wachowski","female","1967",""
"1009","Stanley Kramer","male","1967",""
"1010","Abbas Kiarostami","male","1913","2001"
"1011","Rainer Werner Fassbinder","male","1940","2016"
"1012","Taika Waititi","male","1945","1982"
"1013","Niki Lindroth von Bahr","female","1975",""
"1014","Paul Thomas Anderson","male","1984",""
"1015","Greg Mottola","male","1970",""
"1016","Steve Rash","male","1964",""
"1017","Jacques Tati","male","1907","1982"
"1018","Bruce LaBruce","male","1907","1982"
"1019","Rick Castro","male","1958",""
"1020","Robert DeNiro","male","1964",""
"1021","Georges Melies","male","1943",""
"1022","Robinson Devor","male","1861","1938"
"1023","Orson Welles","male","1915","1985"
"1024","Tim Burton","male","1915","1985"
"1025","Robert Morgan","male","1958",""
"1026","Frank Oz","male","1974",""
"1027","Billy Wilder","male","1944",""
"1028","Yorgos Lanthimos","male","1906","2002"
"1029","Boots Riley","male","1973",""
"1030","Wong Kar-Wai","male","1971",""
"1031","Halina Reijn","female","1958",""
"1032","Elem Klimov","male","1933","2003"
"1033","Pedro Almodovar","male","1949",""
"1034","Duncan Skiles","male","",""
"1035","Judd Apatow","male","1967",""
"1036","David Cronenberg","male","1943",""
"1037","Theda Hammel","female","",""
"1038","Peter Hedges","male","1962",""
"1039","Spike Jonze","male","1969",""
"1040","Jonathan Levine","male","1976",""
"1041","Molly Gordon","female","1994",""
"1042","Nick Lieberman","male","1994",""
"1043","Jorma Taccone","male","1977",""
"1044","Steven Shainberg","male","1963",""
"1045","David O. Russell","male","1958",""
"1046","Riley Stearns","male","1986",""
"1047","Gurinder Chadha","male","1960",""
"1048","Gil Junger","male","1954",""
"1049","Shawn Levy","male","1968",""
"1050","Nax Faxon","male","1975",""
"1051","Jim Rash","male","1971",""
"1052","Jonathan Demme","male","1944","2017"
"1053","David Fincher","male","1962",""
"1054","William Friedkin","male","1935","2023"
"1055","Christopher Nolan","male","1970",""
"1056","Ridley Scott","male","1937",""
"1057","Noah Baumbach","male","1969",""
"1058","Damien Chazelle","male","1985",""
"1059","Ethan Coen","male","1957",""
"1060","Joel Coen","male","1954",""
"1061","Todd Field","male","1964",""
"1062","Gregory Jacobs","male","1968",""
"1063","Craig Gillespie","male","1967",""
"1064","Dan Gilroy","male","1959",""
"1065","Todd Haynes","male","1961",""
"1066","Alejandro González Iñárritu","male","1963",""
"1067","Sebastián Silva","male","1979",""
"1068","Matt Spicer","male","1984",""
"1069","Darren Stein","male","1971",""
"1070","Jennie Livingston","female","1962",""
"1071","Josh Greenbaum","male","1979",""
"1072","Maya Deren","female","1917","1961"
"1073","Alexandr Hackenschmied","male","1907","2004"
"1074","Charlie Kaufman","male","1958",""
"1075","Alex Garland","male","1970",""
"1076","Neil Jordan","male","1950",""
"1077","Rob Reiner","male","1947",""
"1078","Tarsem Singh","male","1961",""
"1079","Edgar Wright","male","1974",""
"1080","Park Chan-wook","male","1963",""
"1081","Danny Boyle","male","1956",""
"1082","Brandon Cronenberg","male","1980",""
"1083","Karyn Kusama","male","1968",""
"1084","David Robert Mitchell","male","1974",""
"1085","Ti West","male","1980",""
"1086","Robert Wise","male","1914","2005"
"1087","Nancy Meyers","female","1949",""
"1088","Max Barbakow","male","",""
"1089","Bong Joon Ho","male","1969",""
"1090","Michael Haneke","male","1942",""
"1091","Darius Marder","male","1974",""
"1092","Rob Marshall","male","1960",""
"1093","Mary Harron","female","1953",""
"1094","Cheryl Dunye","female","1966",""
"1095","Zack Snyder","male","1966",""
"1096","Francis Lawrence","male","1971",""
"1097","Mathieu Kassovitz","male","1967",""
"1098","Akira Kurosawa","male","1910","1998"
"1099","David Lynch","male","1946","2025"
"1100","Michael Mann","male","1943",""
"1101","William Oliver Stone","male","1946",""
"1102","Gregg Araki","male","1959",""
"1103","Ari Aster","male","1986",""
"1104","Drew Barrymore","female","1975",""
"1105","Lee Isaac Chung","male","1978",""
"1106","John McTiernan","male","1951",""
"1107","Satoshi Kon","male","1963","2010"
"1108","Hayao Miyazaki","male","1941",""
"1109","Steve Hickner","male","1961",""
"1110","Simon J. Smith","male","1950",""
"1111","Brenda Chapman","female","1962",""
"1112","Simon Wells","male","1961",""
"1113","Griffin Dunne","male","1955",""
"1114","Tom Green","male","1971",""
"1115","Michael Patrick Jann","male","1970",""
"1116","Louis Malle","male","1932","1995"
"1117","Don Siegel","male","1912","1991"
"1118","Peter Segal","male","1962",""
"1119","Todd Solondz","male","1959",""
"1120","Ben Stiller","male","1965",""
"1121","Bo Burnham","male","1990",""
"1122","Catherine Hardwicke","female","1955",""
"1123","John Waters","male","1946",""
"1124","Wes Anderson","male","1969",""
"1125","Sofia Coppola","female","1971",""
"1126","Brian De Palma","male","1940",""
"1127","Mike Mills","male","1966",""
"1128","Pier Paolo Pasolini","male","1922","1975"
"1129","Kelly Reichardt","female","1964",""
"1130","Tom Tykwer","male","1965",""
"1131","Lars von Trier","male","1956",""
"1132","Jan-Willem Breure","male","1988",""
"1133","Charlie Tyrell","male","1988",""
"1134","Matt Wolf","male","1982",""
"1135","Terry Zwigoff","male","1949",""
"1136","Russ Meyer","male","1922","2004"
"1137","Guillermo del Toro","male","1964",""
"1138","Dave McCary","male","1985",""
"1139","Akiva Schaffer","male","1977",""
