movie_id,title,release_year,running_time (minutes),description,Letterboxd_link
0001,The Wicker Man,1973,94,"A puritan police sergeant arrives in a Scottish island village in search of a missing girl, who the pagan locals claim never existed.

Benny's review: I love you",https://boxd.it/1KnG
0002,After Hours,1985,98,"Ordinary word processor Paul Hackett experiences the worst night of his life after he agrees to visit Marcy, a Soho resident that he met that evening at a coffee shop.",https://boxd.it/1VfS
0003,Step Brothers,2008,95,"Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.

Benny's review: I love you",https://boxd.it/1SsE
0004,Memoir of a Snail,2024,95,"A bittersweet memoir of a melancholic woman called Grace Pudel - a hoarder of snails, romance novels, and guinea pigs.

Benny's review: liked it",https://boxd.it/EgX8
0005,Robot Dreams,2023,113,"The adventures and misfortunes of Dog and Robot in New York City during the 1980s.

Benny's review: I love you",https://boxd.it/vBZm
0006,But I'm a Cheerleader,1999,85,"A naive teenager is sent to rehab camp when her straitlaced parents and friends suspect her of being a lesbian.

Benny's review: I love you",https://boxd.it/1CW4
0007,Speed Racer,2008,95,"Young driver, Speed Racer, aspires to be champion of the racing world with the help of his family and his high-tech Mach 5 automobile.

Benny's review: I love you",https://boxd.it/20UQ
0008,"It's a Mad, Mad, Mad, Mad World",1963,209,"Several different motorists witness a single car crash in the California desert and, after the driver's dying words indicate the location of a hidden stash of loot, turn against each other in a mad dash across the state to get to it.",https://boxd.it/1TvO
0009,Taste of Cherry,1997,95,An Iranian man drives his car in search of someone who will quietly bury him under a cherry tree after he commits suicide.,https://boxd.it/1m8W
0010,Ali: Fear Eats the Soul,1974,94,"A lonely widow meets a much younger Moroccan worker in a bar during a rainstorm. They fall in love, to their own surprise and to the outright shock of their families, colleagues, and drinking buddies.",https://boxd.it/2aRi
0011,Boy,2010,87,"Boy, an 11-year-old child and devout Michael Jackson fan who lives on the east coast of New Zealand in 1984, gets a chance to know his absentee criminal father, who has returned to find a bag of money he buried years ago.

Benny's review: I love you",https://boxd.it/13RS
0012,The Burden,2017,15,"A dark musical enacted in a market place, situated next to a freeway. The employees of the various commercial venues deal with boredom and existential anxiety by performing cheerful musical turns. The apocalypse is a tempting liberator.",https://boxd.it/gkhM
0013,There Will Be Blood,2007,208,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",https://boxd.it/20Z2
0014,Superbad,2007,119,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,https://boxd.it/20hO
0015,Can't Buy Me Love,1987,94,An outcast secretly pays the most popular girl in school one thousand dollars to pretend to be his girlfriend for a month.,https://boxd.it/1R4c
0016,Mon Oncle,1958,107,"Monsieur Hulot visits the technology-driven world of his sister, brother-in-law, and nephew, but he can't quite fit into the surroundings. 

Benny's review: watched it",https://boxd.it/2apy
0017,Hustler White,1996,79,"Reminiscent of Sunset Boulevard, Hustler White transposes the action from the silver screen's old movie backlots to contemporary male prostitution and the porn industry. Said to be an homage to classic Hollywood cinema.",https://boxd.it/ROs
0018,A Bronx Tale,1993,121,"An intense drama about a boy torn between his tough, hard-working father and a violent yet charismatic crime boss.",https://boxd.it/28uQ
0019,Le voyage dans la lune,1902,13,A group of astronomers go on an expedition to the Moon.,https://boxd.it/29EC
0020,Zoo,2007,75,"A look at the life of an Enumclaw, Washington man who died as a result of an unusual encounter with a horse.",https://boxd.it/1G5I
0021,F for Fake,1973,89,A documentary about fraud and fakery.,https://boxd.it/VxA
0022,Big Fish,2003,125,A frustrated son tries to determine the fact from ficiton in his dying father's life.,https://boxd.it/2a3M
0023,Stopmotion,2023,93,A stop-motion animator struggles to control her demons after the loss of her overbearing mother.,https://boxd.it/vHYa
0024,Little Shop of Horrors,1986,94,A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.,https://boxd.it/1Vqm
0025,Double indemnity,1944,107,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",https://boxd.it/297I
0026,The Lobster,2015,118,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.

Benny's review: mixed feelings",https://boxd.it/7tnw
0027,Sorry to Bother You,2018,112,"In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a universe of greed.",https://boxd.it/f21E
0028,In the Mood for Love,2000,108,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.

Benny's review: I love you",https://boxd.it/29tE
0029,Babygirl,2024,114,"A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.

Benny's review: liked it",https://boxd.it/Fvai
0030,Shutter Island,2010,138,"Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.

Benny's review: liked it",https://boxd.it/1U82
0031,Come and See,1985,140,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",https://boxd.it/1w9q
0032,All About My Mother,1999,101,"A comedy-drama about a bereaved mother, an overwrought actress, her jealous lover, and a pregnant nun.

Benny's review: watched it",https://boxd.it/2b9c
0033,The Clovehitch Killer,2018,109,"A picture-perfect family is shattered when the work of a serial killer hits too close to home.

Benny's review: liked it",https://boxd.it/jRjM
0034,This is 40,2012,134,"Long-time married couple Pete and Debbie struggle with the idea of turning 40. With disobedient children and rising debts coupled with an unwanted pregnancy, the two head towards a myriad of problems.

Benny's review: I love you",https://boxd.it/39WI
